Datastore Name,Dataset Size,Number of Pairs,Total Bytes,FAISS Index Bytes,Targets Bytes,Total Size (formatted),FAISS Size (formatted),Targets Size (formatted)
datastore_100k_A5000,100k,1959096,32144319867,32136483355,7836512,29.94 GB,29.93 GB,7.47 MB
datastore_10k_A5000,10k,195749,3216762527,3215979403,783124,3.00 GB,3.00 GB,764.77 KB
datastore_1M_A5000,unknown,19591072,321282358411,321203993995,78364416,299.22 GB,299.14 GB,74.73 MB
datastore_1k_A5000,1k,19577,323263247,323184811,78436,308.29 MB,308.21 MB,76.60 KB
datastore_280k_A5000,280k,5485158,89973057291,89951116531,21940760,83.79 GB,83.77 GB,20.92 MB
datastore_460k_A5000,460k,9012146,147812617139,147776568427,36048712,137.66 GB,137.63 GB,34.38 MB
datastore_50k_A5000,50k,979283,16072454063,16068536803,3917260,14.97 GB,14.96 GB,3.74 MB
datastore_5k_A5000,5k,98025,1612332471,1611940243,392228,1.50 GB,1.50 GB,383.04 KB
datastore_640k_A5000,640k,12538342,205636863691,205586710195,50153496,191.51 GB,191.47 GB,47.83 MB
datastore_820k_A5000,820k,16065725,263479670735,263415407707,64263028,245.38 GB,245.32 GB,61.29 MB
